pathway,pcc,mae_raw,r2_raw
Oxidative_Phosphorylation,0.7932395,704.0888671875,0.6225188970565796
MYC_Targets,0.7306669,1126.33544921875,0.25785911083221436
ECM_Organization,0.70894146,1228.994384765625,0.45343416929244995
Fibrosis,0.7071509,1265.533935546875,0.3659709692001343
G2M_Checkpoint,0.6730021,1931.4786376953125,-0.21442151069641113
mTOR_Signaling,0.6699565,701.191650390625,0.4293231964111328
tls,0.65929615,1252.962890625,0.34203726053237915
E2F_Targets,0.64769965,1278.8941650390625,-0.05709338188171387
Mitotic_Spindle,0.6335383,1545.6424560546875,-0.1001582145690918
Wound_Healing,0.62337667,869.8692016601562,0.25505495071411133
IL6_JAK_STAT3,0.618879,1093.4481201171875,-0.12310314178466797
Unfolded_Protein_Response,0.6159561,1107.5201416015625,0.00018066167831420898
Glycolysis,0.61135936,986.6670532226562,-0.29976415634155273
P53_Pathway,0.58510536,1223.13671875,-0.30376601219177246
Angiogenesis,0.57776123,1363.02490234375,0.18710458278656006
emt,0.57728803,808.650146484375,0.290962815284729
DNA_Damage_Response,0.5216429,1065.23388671875,-0.13619577884674072
mhc,0.49138254,367.74993896484375,0.23914921283721924
Apoptosis,0.46039918,730.7833862304688,0.16420024633407593
tgfb,0.45441356,861.915283203125,0.07479721307754517
Inflammatory_Response,0.4154801,1361.2403564453125,0.16506129503250122
Coagulation,0.4012,576.5747680664062,0.08094888925552368
Reactive_Oxygen_Species,0.39043292,900.3564453125,-0.6256822347640991
hypoxia,0.38882726,1105.7564697265625,0.0967334508895874
TNF_Signaling,0.3515204,1348.3458251953125,-0.2573835849761963
Complement,0.34325248,2303.548583984375,-2.237346649169922
toxic,0.33446154,1695.5162353515625,0.10217291116714478
Interferon_Alpha,0.25439453,1692.2159423828125,-1.9826512336730957
icp,0.24231848,1803.4495849609375,-0.4282482862472534
ifng,0.108083114,1806.8094482421875,-0.32753753662109375
