pathway,pcc,mae_raw,r2_raw
Oxidative_Phosphorylation,0.8136375,889.4114379882812,0.40446507930755615
MYC_Targets,0.78034484,839.4439697265625,0.5216356515884399
mTOR_Signaling,0.6849522,745.5205078125,0.29864537715911865
G2M_Checkpoint,0.6748402,1281.4326171875,0.3765668272972107
E2F_Targets,0.6657553,874.698974609375,0.4394785761833191
Fibrosis,0.66382915,1544.6612548828125,0.10616230964660645
tls,0.65154105,1154.229736328125,0.2576274871826172
Unfolded_Protein_Response,0.64814806,775.1443481445312,0.3821439743041992
ECM_Organization,0.64386845,1493.4549560546875,0.23600804805755615
Mitotic_Spindle,0.6171643,1117.2847900390625,0.33795398473739624
IL6_JAK_STAT3,0.60836595,781.5001220703125,0.284686803817749
Angiogenesis,0.60294306,1365.55419921875,0.1838010549545288
Wound_Healing,0.5670474,997.248291015625,0.029565036296844482
Glycolysis,0.5645285,832.2975463867188,0.00502169132232666
P53_Pathway,0.55442023,907.8897094726562,0.1739182472229004
emt,0.54821587,939.030517578125,0.14030885696411133
DNA_Damage_Response,0.5425595,834.3644409179688,0.2472367286682129
mhc,0.5215166,339.9977722167969,0.25657039880752563
Apoptosis,0.45927715,703.1171875,0.19512951374053955
Inflammatory_Response,0.42361912,1373.0289306640625,0.16387015581130981
tgfb,0.41316634,835.5994873046875,0.09685730934143066
Reactive_Oxygen_Species,0.40851986,651.4058837890625,0.028794467449188232
Coagulation,0.40034372,722.9681396484375,-0.36958837509155273
hypoxia,0.37090483,1085.0859375,0.10082083940505981
TNF_Signaling,0.34136593,1068.2103271484375,0.09511959552764893
Complement,0.32132283,1963.3834228515625,-1.4898865222930908
toxic,0.29732138,1669.233154296875,-0.004961609840393066
icp,0.23231582,1656.61376953125,-0.2084411382675171
Interferon_Alpha,0.2264414,1298.49609375,-0.9073230028152466
ifng,0.13232942,1752.3394775390625,-0.21867692470550537
