pathway,pcc,mae_raw,r2_raw
Oxidative_Phosphorylation,0.7535836,758.0341796875,0.5672860145568848
Fibrosis,0.71703094,1375.084716796875,0.2885821461677551
ECM_Organization,0.70901084,1325.154052734375,0.3881825804710388
MYC_Targets,0.6873755,1127.06640625,0.2273482084274292
mTOR_Signaling,0.65715575,691.2337036132812,0.427179217338562
Wound_Healing,0.6482595,940.4884643554688,0.16395092010498047
G2M_Checkpoint,0.63072175,2048.515380859375,-0.34868693351745605
tls,0.60943395,1308.1881103515625,0.28900378942489624
E2F_Targets,0.6022616,1332.701416015625,-0.13581931591033936
Glycolysis,0.601955,968.84033203125,-0.31367504596710205
Mitotic_Spindle,0.591177,1664.6474609375,-0.2521488666534424
IL6_JAK_STAT3,0.57891256,1008.0508422851562,-0.0342862606048584
emt,0.578385,802.0704956054688,0.32268577814102173
Angiogenesis,0.56827176,1394.6396484375,0.15961867570877075
Unfolded_Protein_Response,0.56675565,1053.5914306640625,0.03229302167892456
P53_Pathway,0.5567367,1185.197998046875,-0.2578548192977905
Reactive_Oxygen_Species,0.47841775,857.8751220703125,-0.48291218280792236
DNA_Damage_Response,0.4636613,1204.232421875,-0.4041086435317993
tgfb,0.44944903,831.0321044921875,0.11448287963867188
TNF_Signaling,0.4429222,1121.5369873046875,0.04793578386306763
mhc,0.44262576,484.5193176269531,0.15923792123794556
Coagulation,0.43759328,554.6170043945312,0.14202982187271118
Inflammatory_Response,0.42921367,1398.115478515625,0.165522038936615
Apoptosis,0.4185934,739.8492431640625,0.1341954469680786
Complement,0.38518924,2154.676025390625,-1.8323264122009277
hypoxia,0.3418461,1164.112548828125,0.020126521587371826
Interferon_Alpha,0.28559119,1609.4312744140625,-1.6786689758300781
toxic,0.24335392,1777.3621826171875,0.03858482837677002
icp,0.14835984,1688.333984375,-0.2634221315383911
ifng,0.111422755,1712.5584716796875,-0.1974489688873291
